"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Северная Македония;23.03.2021;120882;102201;3528;1054;727;25
Таджикистан;23.04.2021;13714;13218;91;0;0;0
Коморские острова;16.12.2020;633;606;7;0;0;0
Белиз;09.04.2021;12485;12106;318;0;0;0
Испания;16.12.2020;1773290;150376;48596;11078;0;195
Барбадос;15.12.2020;297;273;7;1;1;0
Руанда;30.06.2020;1025;447;2;24;4;0
Россия;08.02.2021;3939162;3434163;75828;15701;15834;398
Доминиканская Республика;16.04.2021;260133;218010;3410;494;397;5
Западный берег реки Иордан;08.07.2020;5029;494;20;382;0;2
Болгария;10.09.2020;17598;12619;706;163;145;4
Судно "Diamond Princess";08.08.2020;712;651;13;0;0;0
Намибия;26.05.2021;53603;49596;789;171;46;10
Палау;05.10.2020;0;0;0;0;0;0
Венгрия;08.05.2021;790564;561119;28504;1376;7283;101
Венесуэла;15.12.2020;108480;103271;965;355;234;5
Кувейт;16.12.2020;146971;142909;913;261;310;0
Индонезия;24.08.2020;155412;111060;6759;1877;3560;79
Шри-Ланка;10.07.2020;2454;1980;11;300;1;0
Южная Корея;27.06.2021;155572;146675;2015;501;335;2
Республика Конго;18.04.2021;10084;8208;139;0;0;0
Бруней;14.09.2020;145;139;3;0;0;0
ЮАР;10.03.2021;1524174;1445979;51015;1477;1697;109
Дания;02.03.2021;212912;203601;2368;532;397;2
Тринидад и Тобаго;03.04.2021;8136;7640;145;20;16;0
Словения;02.04.2021;218114;200422;4063;1175;932;9
Панама;19.04.2021;361044;350835;6189;203;225;1
Мавритания;26.08.2020;6977;6356;158;17;35;0
Монголия;06.02.2021;2023;1449;2;34;0;0
Эквадор;31.12.2020;212512;184507;14034;1000;0;11
Кабо-Верде;02.05.2021;24368;20899;223;241;188;3
Сейшельские острова;07.12.2020;182;168;0;0;0;0
Уругвай;14.10.2020;2388;2007;51;51;20;0
Норвегия;03.10.2020;14362;11190;275;78;0;0
Вьетнам;19.05.2021;4720;2687;37;208;0;0
США;12.07.2020;3315029;1006326;135531;60588;10750;473
Нигерия;09.02.2021;141447;115755;1694;1056;1120;21
Соломоновы острова;22.08.2020;0;0;0;0;0;0
Чили;12.03.2021;879485;825311;21451;5973;3941;89
Азербайджан;27.04.2021;315119;282786;4429;1307;2383;27
Исландия;05.08.2020;1926;1825;10;8;0;0
Папский Престол;09.10.2020;12;12;0;0;0;0
Мальта;30.05.2021;30533;30046;419;4;3;0
Сан-Томе и Принсипи;13.03.2021;2078;1817;32;21;47;0
Швеция;20.03.2021;744272;0;13262;0;0;0
Румыния;27.06.2021;1080630;1045351;33253;46;0;76
Эритрея;06.06.2021;4427;3894;14;0;0;0
Марокко;27.08.2020;57085;41901;1011;1221;1315;27
Парагвай;29.01.2021;131886;106883;2694;969;774;12
Гондурас;26.01.2021;142880;60597;3486;896;120;24
Сент-Люсия;09.08.2020;25;24;0;0;0;0
Косово и Метохия;29.06.2020;2677;1425;49;87;31;1
Судан;29.01.2021;29291;21155;1798;225;0;0
Камерун;15.11.2020;22692;21510;433;0;0;0
Киргизия;29.09.2020;46522;42761;1064;167;148;0
Ирак;14.03.2021;758184;685770;13751;3866;3942;32
Колумбия;04.08.2020;334979;180258;11315;7129;6531;298
Джибути;12.01.2021;5879;5801;61;2;12;0
Польша;18.03.2021;1984248;1603832;48388;27274;10667;356
Гренада;11.02.2021;148;146;1;0;0;0
Израиль;13.04.2021;836334;826768;6309;176;274;5
Сомали;12.12.2020;4579;3529;121;0;0;0
Куба;07.05.2021;113876;107476;713;1162;1067;12
Швейцария;26.06.2021;702507;317600;10771;0;0;0
Литва;20.05.2021;268684;244352;4155;915;1226;19
Фиджи;16.02.2021;56;54;2;0;0;0
Танзания;02.12.2020;509;183;21;0;0;0
Беларусь;10.04.2021;334863;325108;2344;1433;1360;10
Замбия;02.10.2020;14830;13980;333;28;19;0
Сьерра-Леоне;25.11.2020;2408;1829;74;2;0;0
Сент-Китс и Невис;06.01.2021;33;31;0;0;0;0
Эфиопия;23.02.2021;154257;133051;2305;716;1338;12
Албания;23.02.2021;102306;65403;1696;1021;1085;15
Мадагаскар;23.09.2020;16167;14788;226;31;45;0
Micronesia;30.10.2020;0;0;0;0;0;0
Австралия;12.09.2020;26651;20346;810;44;11;7
Канада;12.02.2021;824754;767170;21168;2716;3191;79
ОАЭ;23.02.2021;375535;366567;1145;3005;3515;5
Бельгия;19.01.2021;681250;0;20554;1479;0;82
Чехия;27.12.2020;670599;565841;11044;3030;2387;94
Великобритания;14.12.2020;1874870;4051;64500;20377;35;233
Иордания;03.01.2021;298208;276485;3903;1540;2499;26
