"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Сирия;26.06.2021;25365;21791;1864;37;8;2
Мальдивы;10.10.2020;10859;9683;34;51;29;0
Черногория;20.10.2020;15892;11581;247;132;293;7
Мьянма;14.06.2021;145826;132969;3248;223;41;4
Афганистан;18.08.2020;37685;27166;1379;3;0;0
Гвинея;09.11.2020;12459;10847;74;45;30;0
Катар;05.03.2021;166015;155407;261;469;337;1
Индия;23.09.2020;5732518;4674987;91149;86508;87374;1129
Того;01.08.2020;958;647;19;17;6;0
Египет;21.10.2020;105883;98516;6155;178;103;13
Пакистан;14.04.2021;739818;646652;15872;5395;4740;118
Лаос;09.12.2020;41;28;0;0;0;0
Нигер;15.08.2020;1165;1077;69;4;2;0
Новая Зеландия;13.08.2020;1602;1531;22;13;0;0
Греция;07.12.2020;116721;93764;3092;1250;0;89
Ангола;11.09.2020;3279;1288;131;62;11;1
Украина;16.09.2020;166694;74981;3404;3016;1559;78
Доминика;05.01.2021;88;83;0;0;0;0
Бангладеш;22.03.2021;573687;523859;8720;2809;1754;30
Германия;02.07.2020;196370;179800;9006;477;700;11
Бутан;04.12.2020;424;387;0;6;1;0
Эсватини;29.08.2020;4510;3359;91;49;149;0
Кипр;24.11.2020;8947;2055;44;304;0;0
Филиппины;09.06.2021;1286217;1210027;22190;5444;7770;126
Таиланд;28.11.2020;3977;3800;60;11;2;0
Маврикий;08.11.2020;453;416;10;0;0;0
Франция;02.12.2020;2299501;171197;53906;14228;1534;311
Лесото;30.03.2021;10686;4471;315;0;0;0
ЦАР;28.06.2021;7141;6859;98;2;0;0
Восточный Тимор;15.06.2021;8412;7039;19;71;206;0
Антигуа и Барбуда;11.03.2021;882;489;23;0;0;0
Summer Olympics 2020;10.04.2021;0;0;0;0;0;0
Бахрейн;16.10.2020;77325;73421;292;371;408;3
Тонга;16.10.2020;0;0;0;0;0;0
Сенегал;09.06.2021;41796;40365;1150;71;42;0
Узбекистан;23.06.2021;107266;103074;722;419;528;2
Португалия;04.10.2020;79151;50207;2005;904;362;10
Сент-Винсент и Гренадины;22.05.2021;1973;1827;12;11;18;0
Босния и Герцеговина;22.03.2021;154627;125343;5938;3290;1690;165
Словакия;09.12.2020;121796;89769;1084;2564;2336;38
Либерия;11.07.2020;963;420;47;6;20;5
Вануату;13.07.2020;0;0;0;0;0;0
Боливия;22.03.2021;265207;212691;12074;573;585;14
Малави;20.12.2020;6161;5663;187;8;1;0
Ямайка;21.02.2021;21382;12931;396;458;48;5
Сингапур;19.05.2021;61689;61183;31;38;49;0
Алжир;16.02.2021;111069;76330;2945;175;162;2
Иран;16.05.2021;2751166;2226122;76936;11291;15271;303
Гвинея-Бисау;18.01.2021;2509;2405;45;0;0;0
Камбоджа;13.12.2020;359;309;0;0;2;0
Кабо-Верде;21.09.2020;5281;4674;52;24;75;1
Кувейт;23.05.2021;299215;285118;1734;992;1166;10
Оман;20.02.2021;138494;130084;1549;0;0;0
Сан-Томе и Принсипи;01.10.2020;911;886;15;0;0;0
Исландия;17.05.2021;6548;6456;29;11;11;0
Marshall Islands;21.02.2021;4;4;0;0;0;0
Папский Престол;21.03.2021;27;15;0;0;0;0
Азербайджан;18.09.2020;38894;36424;572;117;135;1
Соломоновы острова;06.04.2021;19;18;0;0;0;0
Чили;02.10.2020;466590;439607;12867;1840;1459;45
Норвегия;11.03.2021;78041;17998;639;872;0;7
Вьетнам;03.08.2020;652;374;7;31;1;1
США;26.06.2021;33694393;"";603394;8657;"";157
Италия;21.07.2020;244752;197431;35073;128;269;15
Малайзия;29.01.2021;203933;157721;733;5725;3423;16
Кот-д’Ивуар;21.01.2021;25751;24119;142;154;252;0
Уругвай;24.03.2021;87812;71588;843;1805;1216;16
Чад;11.12.2020;1745;1595;102;6;8;0
Коста-Рика;30.10.2020;108866;66202;1371;1296;536;14
Сент-Люсия;21.05.2021;4935;4617;77;12;11;0
Гамбия;08.11.2020;3684;3533;121;0;6;0
Марокко;09.04.2021;500948;487414;8885;625;501;12
Багамские острова;03.01.2021;7914;6239;175;27;0;4
Румыния;11.07.2020;32079;21414;1871;698;285;24
Израиль;31.08.2020;116906;94369;953;2178;1447;23
Ирак;08.10.2020;394566;323815;9683;3522;4031;79
Колумбия;18.05.2021;3144547;2947661;82291;13137;16381;482
Киргизия;07.03.2021;86550;83530;1471;44;46;0
Нидерланды;03.09.2020;75356;1379;6268;696;97;1
Финляндия;25.10.2020;14848;9800;353;196;0;0
Россия;14.03.2021;4341381;3949891;90558;9985;9147;389
Косово и Метохия;15.06.2021;107175;104772;2255;0;0;0
Таджикистан;14.09.2020;9049;7853;72;35;37;0
Китай;19.08.2020;90013;84023;4713;33;165;1
Северная Македония;15.10.2020;22170;16758;815;534;167;6
Хорватия;09.06.2021;358061;348628;8103;275;159;7
Папуа — Новая Гвинея;30.06.2020;11;8;0;0;0;0
Судно "MS Zaandam";07.12.2020;9;7;2;0;0;0
Западный берег реки Иордан;22.06.2021;313015;306532;3555;204;220;1
Болгария;19.04.2021;388815;310922;15412;2434;4244;217
Судно "Diamond Princess";22.05.2021;712;699;13;0;0;0
Япония;24.11.2020;135678;112385;2015;1229;1042;19
Доминиканская Республика;05.09.2020;98776;71901;1840;2147;1030;39
Кения;28.01.2021;100422;83757;1753;99;66;2
Белиз;27.08.2020;818;54;12;58;0;1
Армения;18.02.2021;169820;161577;3156;223;101;1
Австрия;27.02.2021;457317;428904;8538;2457;1647;23
Польша;20.02.2021;1631727;1372326;42077;8509;7110;254
Индонезия;04.04.2021;1534255;1375877;41669;6731;9663;427
Шри-Ланка;28.06.2021;255508;221249;2985;1890;2251;41
Панама;19.01.2021;301534;243157;4864;2173;2029;36
Эстония;29.11.2020;12052;7010;112;354;36;3
Перу;13.02.2021;1220748;1130923;111945;8439;0;736
Намибия;12.08.2020;3406;835;22;177;120;3
Палау;17.03.2021;0;0;0;0;0;0
Венгрия;21.07.2020;4347;3257;596;8;25;0
Габон;01.11.2020;8968;8698;55;0;0;0
Словения;21.10.2020;15982;6922;200;1509;350;8
Турция;04.08.2020;234934;218491;5765;1083;994;18
ЮАР;04.10.2020;681289;614781;16976;1573;2018;38
Дания;26.09.2020;26687;19781;648;621;340;1
Тринидад и Тобаго;25.08.2020;1252;178;15;153;13;0
Буркина-Фасо;21.12.2020;5301;3758;76;141;99;0
Мальта;27.12.2020;12325;10668;210;84;118;4
Гана;27.12.2020;54401;53180;333;115;98;0
Южная Корея;11.07.2020;13417;12178;289;44;34;1
Республика Конго;03.09.2020;4628;1742;102;0;0;0
ДР Конго;31.01.2021;22771;15031;671;167;0;0
Кирибати;01.01.2021;0;0;0;0;0;0
Швеция;18.02.2021;627022;0;12598;4920;0;29
Южный Судан;16.07.2020;2171;1175;41;18;0;0
Мьянма;08.11.2020;61377;45756;1420;1029;1090;24
Аргентина;13.02.2021;2021553;1820965;50188;6057;6805;159
Эсватини;07.04.2021;17365;16631;669;7;8;0
Германия;20.06.2021;3730126;3604050;90400;529;1900;10
Бангладеш;16.10.2020;386086;300738;5623;1527;1509;15
Никарагуа;19.02.2021;6398;4225;172;0;0;0
Мозамбик;10.11.2020;13892;11748;99;69;89;0
Тонга;22.03.2021;0;0;0;0;0;0
Украина;29.04.2021;2113880;1685659;45607;11750;18570;396
Сальвадор;26.12.2020;44892;39989;1297;0;0;8
Гвинея;15.06.2021;23398;21488;167;0;0;0
Ирландия;17.12.2020;77678;23364;2143;481;0;3
Бахрейн;22.03.2021;136741;129242;502;759;808;2
Восточный Тимор;29.06.2020;24;24;0;0;0;0
Самоа;17.01.2021;2;2;0;0;0;0
Антигуа и Барбуда;03.10.2020;107;96;3;1;2;0
Гайана;19.09.2020;2168;1331;64;66;17;2
ЦАР;10.07.2020;4259;1142;53;59;0;1
Люксембург;12.07.2020;4925;4086;111;83;0;1
Греция;18.05.2021;381266;93764;11534;2781;0;63
Монако;11.10.2020;234;209;2;1;0;0
Боливия;16.10.2020;139562;103896;8439;243;397;32
Сомали;27.05.2021;14647;6717;768;15;32;1
Либерия;27.06.2021;3529;2274;113;0;0;0
Молдавия;16.02.2021;171514;158619;3678;965;614;17
Андорра;13.07.2020;858;803;52;3;0;0
Босния и Герцеговина;16.10.2020;32845;24603;980;621;247;8
Уганда;29.07.2020;1140;1028;2;5;39;0
Гватемала;23.02.2021;172072;159206;6315;783;705;9
Экваториальная Гвинея;15.01.2021;5316;5169;86;0;0;0
Сент-Винсент и Гренадины;08.08.2020;56;49;0;0;0;0
Канада;10.03.2021;901948;849784;22336;2985;2853;31
Тунис;02.12.2020;99280;73607;3359;2511;2756;99
Иран;29.07.2020;298909;259116;16343;2636;2097;196
Великобритания;25.05.2021;4483177;15453;128001;2417;8;15
Сингапур;03.08.2020;53051;47179;27;226;253;0
Бенин;16.02.2021;5039;3960;62;0;0;0
Грузия;09.10.2020;10752;5866;72;527;313;6
Австралия;25.04.2021;29680;23209;910;17;14;0
Узбекистан;17.11.2020;70648;67927;599;267;272;1
Беларусь;26.08.2020;70974;69378;657;247;281;5
Литва;02.08.2020;2104;1667;63;17;8;0
Малави;04.06.2021;34371;32649;1156;6;8;0
Куба;22.07.2020;2462;2326;87;13;5;0
Швейцария;12.07.2020;32883;29600;1813;66;100;0
Ямайка;19.03.2021;33970;15810;519;604;195;8
Мальдивы;20.03.2021;22373;19897;65;81;124;0
Сирия;12.07.2020;394;126;16;0;0;0
Ливан;02.11.2020;83697;43885;652;1080;981;9
Зимбабве;01.03.2021;36115;32905;1468;26;239;5
Катар;23.09.2020;124175;121006;212;258;240;1
Бурунди;27.12.2020;804;687;2;18;0;0
Йемен;12.01.2021;2107;1416;612;2;0;0
Ботсвана;06.01.2021;15440;12481;45;0;0;0
Саудовская Аравия;04.02.2021;369248;360697;6389;303;297;3
Непал;06.01.2021;263193;256161;1899;409;495;6
Сербия;22.07.2020;22031;0;499;426;0;8
Ливия;29.12.2020;99350;70412;1444;437;649;4
Новая Зеландия;25.05.2021;2670;2621;26;0;0;0
Суринам;06.12.2020;5324;5210;117;0;3;0
Лесото;24.02.2021;10467;3418;291;0;0;0
Лихтенштейн;09.07.2020;85;81;1;0;0;0
Нигер;31.05.2021;5410;5083;192;0;0;0
Гаити;24.11.2020;9224;7886;232;10;0;0
Пакистан;30.08.2020;295636;280547;6288;264;207;4
Summer Olympics 2020;29.12.2020;0;0;0;0;0;0
Сан-Марино;01.03.2021;3716;3276;74;0;19;0
Того;13.05.2021;13238;11834;125;28;27;0
Индия;05.03.2021;11192045;10854126;157656;18284;14232;108
Перу;19.02.2021;1261804;1163153;116299;9667;6745;864
Венгрия;16.08.2020;4916;3623;608;39;17;1
Мавритания;22.05.2021;19114;18249;458;65;18;0
Намибия;02.08.2020;2294;187;11;70;16;0
Палау;23.03.2021;0;0;0;0;0;0
Панама;26.07.2020;60296;34131;1294;1432;703;19
Шри-Ланка;18.06.2021;235413;197259;2480;2349;1825;55
Индонезия;30.04.2021;1668368;1522634;45521;5500;5202;187
Эстония;21.12.2020;22083;13677;181;289;87;7
Южная Корея;01.07.2020;12904;11684;282;54;71;0
Республика Конго;13.09.2020;4928;3887;88;0;0;0
Гана;01.12.2020;51667;50547;323;0;0;0
Кирибати;27.01.2021;0;0;0;0;0;0
Турция;26.01.2021;2442350;2322511;25344;7103;8108;134
ДР Конго;22.02.2021;25144;16135;700;64;0;0
Словения;29.09.2020;5487;3682;149;99;82;0
Габон;23.11.2020;9150;8999;59;19;23;0
Мальта;03.09.2020;1965;1528;13;34;38;0
Буркина-Фасо;29.11.2020;2856;2593;68;40;14;0
Тринидад и Тобаго;16.09.2020;3327;810;58;104;12;2
Дания;18.10.2020;35893;29741;680;453;338;1
ЮАР;10.10.2020;690896;622153;17673;2544;2072;126
Судно "MS Zaandam";13.12.2020;9;7;2;0;0;0
Папуа — Новая Гвинея;06.07.2020;11;8;0;0;0;0
Бразилия;13.07.2020;1884967;1291251;72833;20286;26408;733
Северная Македония;05.10.2020;18873;15487;760;83;146;4
Китай;28.07.2020;87457;80957;4664;212;51;1
Таджикистан;04.09.2020;8690;7515;69;36;33;0
Белиз;22.09.2020;1635;967;21;0;0;0
Латвия;31.03.2021;102363;93631;1899;630;806;6
Япония;06.10.2020;86507;78521;1611;500;450;7
Кения;02.01.2021;96678;79012;1685;64;210;4
Австрия;05.02.2021;421189;399329;7973;1388;1419;37
Армения;12.02.2021;168830;160838;3138;154;168;3
Судно "Diamond Princess";16.05.2021;712;699;13;0;0;0
Западный берег реки Иордан;16.06.2021;312164;304777;3544;216;387;2
Болгария;13.04.2021;378059;293351;14746;2944;3995;127
Доминиканская Республика;11.09.2020;102232;75747;1941;516;713;15
Марокко;01.05.2021;511562;498131;9026;313;510;3
Гамбия;22.10.2020;3659;2660;119;2;2;1
Румыния;01.07.2020;27296;19314;1667;326;264;16
Багамские острова;25.01.2021;8133;6720;175;32;0;0
Эритрея;14.07.2020;232;107;0;0;0;0
Сент-Люсия;15.05.2021;4818;4516;75;30;5;0
Коста-Рика;25.11.2020;134520;82611;1674;1330;638;12
Руанда;01.04.2021;21918;20308;308;135;126;1
Финляндия;20.11.2020;20747;15300;375;461;0;1
Косово и Метохия;25.06.2021;107299;105064;2260;0;0;0
Израиль;10.09.2020;146351;110134;1103;4161;2018;14
Нидерланды;27.12.2020;774009;9033;11090;9102;59;28
Киргизия;02.04.2021;88700;84979;1500;162;82;0
Колумбия;28.05.2021;3342567;3121888;87207;23374;20498;514
Ирак;14.10.2020;413215;347396;10021;3857;3188;51
Оман;10.02.2021;136377;128255;1537;190;166;1
Кабо-Верде;26.08.2020;3630;2713;38;62;40;1
Бруней;07.05.2021;229;218;3;1;0;0
Чили;12.10.2020;482832;454434;13376;1461;1082;58
Соломоновы острова;28.04.2021;20;20;0;0;1;0
Азербайджан;23.08.2020;35274;32993;518;169;151;3
Уругвай;14.03.2021;71691;60517;712;1558;978;14
Чад;17.12.2020;1818;1626;102;18;6;0
Малайзия;24.02.2021;291774;260008;1093;3545;3331;12
США;20.06.2021;33612201;"";601359;4470;"";70
Вьетнам;13.08.2020;911;425;21;28;16;3
Кот-д’Ивуар;30.12.2020;22366;21909;137;116;37;0
Норвегия;21.03.2021;86939;17998;648;577;0;0
Сан-Томе и Принсипи;11.10.2020;929;892;15;7;2;0
Италия;16.01.2021;2368733;1729216;81800;16310;16186;475
Marshall Islands;11.02.2021;4;4;0;0;0;0
Папский Престол;11.03.2021;27;15;0;0;0;0
Исландия;27.05.2021;6564;6476;30;4;0;0
Ботсвана;16.01.2021;17365;13519;71;0;0;0
Йемен;18.01.2021;2113;1421;612;1;2;0
Бурунди;01.12.2020;689;575;1;1;0;0
Катар;19.10.2020;129671;126650;224;240;244;0
Сан-Марино;03.02.2021;3094;2773;68;28;21;1
Сербия;15.01.2021;369823;0;3708;1751;0;21
Пакистан;09.09.2020;300030;287658;6365;371;1152;6
Индия;27.03.2021;11971624;11323762;161552;62714;28739;312
Того;23.05.2021;13374;12278;125;11;56;0
Непал;16.01.2021;267056;261044;1954;240;477;6
Саудовская Аравия;26.02.2021;376723;367691;6483;346;368;3
Лихтенштейн;03.07.2020;84;81;1;0;0;0
Нигер;05.05.2021;5286;4870;192;0;0;0
Summer Olympics 2020;08.08.2020;0;0;0;0;0;0
Ливия;24.01.2021;113688;92250;1763;1148;1298;26
Новая Зеландия;19.05.2021;2659;2609;26;1;1;0
Суринам;12.12.2020;5340;5221;117;1;1;0
Гаити;29.10.2020;9046;7429;232;20;7;0
Беларусь;21.09.2020;75898;73301;785;224;36;5
Швейцария;02.07.2020;31967;29200;1810;116;0;0
Куба;17.08.2020;3364;2692;88;48;72;0
Узбекистан;27.09.2020;55320;51829;458;501;507;6
Литва;12.08.2020;2303;1728;64;26;9;0
Австралия;15.04.2021;29484;23114;910;15;6;0
Зимбабве;03.02.2021;33964;27391;1269;150;597;15
Ливан;12.11.2020;100703;55706;775;1874;837;12
Мальдивы;10.03.2021;21144;18534;64;110;106;0
Сирия;02.07.2020;312;113;9;19;3;0
Гватемала;01.02.2021;159632;145165;5673;128;570;30
Босния и Герцеговина;06.10.2020;28710;22274;903;261;242;15
Монако;26.10.2020;310;250;2;4;6;0
Тунис;24.12.2020;126752;97776;4324;1752;750;49
Сент-Винсент и Гренадины;29.07.2020;52;39;0;0;0;0
Экваториальная Гвинея;05.01.2021;5279;5143;86;0;0;0
Вануату;07.06.2021;4;3;1;0;0;0
Либерия;21.06.2021;2995;2169;95;228;64;0
Мадагаскар;27.06.2021;42194;40569;906;0;0;0
Боливия;06.10.2020;137468;98542;8156;361;535;27
Молдавия;06.02.2021;164243;153196;3530;843;644;15
Уганда;24.01.2021;39149;13861;317;105;0;0
Бенин;06.02.2021;4193;3563;55;0;0;0
Сингапур;13.08.2020;55497;50736;27;102;216;0
Черногория;20.06.2021;100075;98167;1605;20;20;0
Грузия;28.10.2020;33858;14829;253;1731;2197;15
Иран;08.08.2020;324692;282122;18264;2125;2398;132
Афганистан;12.04.2021;57242;52005;2529;82;16;8
Бангладеш;06.10.2020;371631;284833;5405;1499;1651;30
Германия;26.06.2021;3734153;3618510;90761;488;1040;9
Мозамбик;04.11.2020;13283;10983;95;81;288;0
Никарагуа;13.02.2021;6347;4225;171;0;0;0
Украина;03.04.2021;1783169;1390431;35729;20456;9268;403
Сальвадор;30.11.2020;38941;35078;1114;183;0;3
Мьянма;22.10.2020;41008;21144;1005;1312;2279;33
Эсватини;03.05.2021;18460;17758;671;2;10;0
Аргентина;19.02.2021;2054681;1855645;51000;7886;6194;143
ЦАР;04.07.2020;3969;914;48;51;55;0
Филиппины;15.07.2020;58850;20976;1614;1305;517;11
Египет;15.06.2021;274404;202650;15691;609;911;37
Ангола;06.05.2021;27921;24503;622;392;11;4
Бахрейн;16.03.2021;132369;125503;487;686;680;2
Ирландия;11.12.2020;75507;23364;2120;304;0;3
Люксембург;02.02.2021;50923;48006;586;190;32;2
Сенегал;15.07.2020;8369;5605;153;126;25;3
Тонга;16.03.2021;0;0;0;0;0;0
Гайана;11.12.2020;5839;4944;154;28;19;0
Самоа;11.01.2021;2;2;0;0;0;0
Восточный Тимор;05.07.2020;24;24;0;0;0;0
Антигуа и Барбуда;09.10.2020;111;97;3;0;0;0
Кот-д’Ивуар;04.07.2020;10462;4807;72;218;81;2
Вьетнам;24.02.2021;2412;1804;35;9;44;0
Малайзия;13.08.2020;9129;8820;125;15;4;0
Мавритания;10.02.2021;16902;16121;427;34;35;0
Чад;17.10.2020;1365;1179;93;4;41;0
Азербайджан;06.11.2020;62338;47270;811;1465;805;17
Нигерия;05.06.2021;166756;162994;2117;26;410;0
Чили;26.12.2020;598394;567376;16404;2563;2374;46
Marshall Islands;21.07.2020;0;0;0;0;0;0
Сан-Томе и Принсипи;27.12.2020;1014;963;17;0;0;0
Турция;06.06.2021;5287980;5160774;48164;5386;6003;96
Оман;22.07.2020;71547;47922;349;1660;1314;12
Монголия;02.06.2021;60372;51448;286;0;0;0
Сейшельские острова;02.04.2021;4230;3836;22;41;91;1
Кабо-Верде;03.11.2020;8944;8155;95;62;45;0
Судан;25.05.2021;34889;27949;2600;0;0;0
Камерун;04.04.2021;57337;35261;851;0;0;0
Финляндия;14.09.2020;8627;7500;337;47;0;0
Ирак;20.12.2020;584145;520969;12697;1027;1964;17
Израиль;24.11.2020;331132;318853;2826;857;561;6
Гренада;30.05.2021;161;160;1;0;0;0
Эритрея;17.01.2021;1877;1073;6;0;0;0
Румыния;29.12.2020;623066;549262;15469;4637;5921;135
Багамские острова;06.07.2020;104;89;11;0;0;0
Парагвай;25.05.2021;338914;279343;8591;3223;2215;117
Латвия;26.11.2020;15171;1719;188;898;33;4
